Problem_Name,Id,Parent_Id,Text,Date,Up_Votes,Username,Parent_Up_Votes,Parent_Date,Parent_Text
"list-the-products-ordered-in-a-period
",76,75,Because you are writing unit>=100 before group by and hence no output is coming in ypur case. First u have to group them and then find the final answer of each group having units of at least 100,"May 18, 2023",2,im_rish97,0,"Apr 29, 2023","select p.product_id, p.product_name, sum(o.unit) as unit from products p
left join orders o on p.product_id = o.product_id
where unit>=100 and o.order_date between '2020/02/01' and '2020/02/28'
group by p.product_idwhy this is not working??"
"walking-robot-simulation
",15,12,Here's a fun edge case:,"Sep 04, 2024",8,aitachii,57,"Sep 04, 2024",TESTCASES------------------>
"frog-position-after-t-seconds
",10,9,"@abmiitd It's been a quite, anw,
cause vertice 7 is not a end node then frog cant stay in 7 for 7 second!","Jan 18, 2024",1,Yongbi,9,"Sep 26, 2020","8
[[2,1],[3,2],[4,1],[5,1],[6,4],[7,1],[8,7]]
7
7Expected is 0
but it is undirected graph and hence expected should be 0.25"
"minimum-number-of-operations-to-sort-a-binary-tree-by-level
",9,6,Nice profile picture,"Aug 31, 2023",0,sdsohaibali,2,"Aug 17, 2023",Problem will be reduced to find the minimum number of moves required to sort an array. Hint:- sort + store indexes.
"count-the-number-of-fair-pairs
",200,199,"nums[2] = 9
nums[3] = 2","Nov 13, 2024",0,aitachii,0,"Nov 13, 2024","IF lower = 11 and upper is also 11
how can we get pair = (2,3)"
"contains-duplicate-ii
",97,96,Aggred,"May 15, 2024",0,velocity_mass,1,"May 15, 2024",There are soo much bad descriptions in this world.. This question's description is one of them
"find-minimum-in-rotated-sorted-array
",39,36,your wish is granted ny child,"Jun 18, 2024",7,LAKSHYABHARDWAJ1509,14,"Dec 19, 2020",Please change the difficulty tag to medium.
"minimum-number-of-taps-to-open-to-water-a-garden
",93,92,"@sergei99 : I agree, that was mentioned in the editorial too. But somehow I feel, this problem is a combination of below three problems. This can be solved using sweep line. That's my intuition. But I could not get the exact answer.","Sep 01, 2023",0,umaparvat,0,"Sep 01, 2023","I thought this problem can be solved using sweep line/line sweep.
Input: n = 5, ranges = [3,4,1,1,0,0]
so the garden range as per problem -> (0,5) inclusive
now the intervals are [(-3,3), (-3, 5), (1,3), (2,4), (4,4), (5,5)]
dict => {-3: 2, 1:1, 2:1, 3: -2, 4:-1, 5: 0}
`
d = defaultdict(int)
for idx in range(len(ranges)):
start = idx-ranges[0]
end = idx+ranges[1]
d[start] += 1
d[end] -= 1
prev = 0
c = 0
garden = [0, n]
for key in sorted(d):
prev += d[key]
if prev:
c += 1
return 1 if c >= garden[1]+1-garden[0] else -1"
"4sum
",3,1,"""hell yea "" moment","Oct 18, 2024",1,Jhonny_T,364,"Jan 04, 2024",Passing all test cases of this problem is more satisfying than having an actual foursome
"count-all-possible-routes
",13,12,If you know any dynamic programming this is more of a medium. It doesn't have any fancy tricks and it's just memoizing on fuel and current locations.,"Jun 25, 2023",0,AssortedFantasy,40,"Jun 25, 2023",Please stop with the hards on the weekend
"longest-word-in-dictionary-through-deleting
",6,1,"@josephding0609 I had the same confusion, too. Probably because we both used a Map/Dictionary based approach. Note that the characters cannot be rearranged. So it isn't possible to derive ""awe..."" from the string ""aew..."" by deleting one or more characters.","Jan 02, 2023",2,qwerty7325,43,"May 06, 2017","Hello,I have a testcase that failed.The input:""aewfafwafjlwajflwajflwafj""
[""apple"",""ewaf"",""awefawfwaf"",""awef"",""awefe"",""ewafeffewafewf""]The output for this one in the testcase is ""ewaf""but I think it is ""awefawfwaf"", which is the longest string."
"bitwise-and-of-numbers-range
",9,7,"nice approach , but it's still showing TLE","Jun 03, 2024",0,RishabhAnand20,57,"Mar 27, 2020","At first, it is easy to think of the brute force solution, BIT_AND all the way from m to n.But we doesn't need to calculate all of them.Notice: whenever we reach t = 2^k, the last k binary digits of t are all 0!When we meet the first 2^k above m, the result will be 0. No matter what is following.Let t be the first 2^k above m, that is, 2^(k - 1) <= m < 2^k = t"
"maximum-score-words-formed-by-letters
",133,131,"You can only form all the words of a subset if the necessary number of letters are present in letters. For example if words = [ ""abc"" , ""cd""] , letters = [ 'c' , 'c' , 'd' , 'b'] . You can only form the susbet [ ""cd"" ] with letters, because 'a' is not present in letters therefore we cannot form ""abc"".","May 24, 2024",0,GodOfm4a1,0,"May 24, 2024",What is the role of repeating letters in this question? Since we don't need to decrease the frequency of the letter once used in making other word.
"watering-plants
",26,25,it's easy cause you memorized the solution. nobody cares,"Aug 29, 2024",0,owenwu4,0,"Dec 27, 2022",easy problem
"shortest-subarray-with-sum-at-least-k
",87,84,99 + 48 > 140 so 2,"Dec 17, 2022",2,anubhavnegi54,2,"Nov 24, 2018","Need to find total number of elements in shortest sub array with sum k.One of the test case failing for me.Array :[48,99,37,4,-31]
k : 140Expected output is 2 here where 3 is the correct answer."
"maximum-number-of-vowels-in-a-substring-of-given-length
",16,14,so much cheerful,"May 05, 2023",0,Jobababa,23,"May 05, 2023","I was worried about tackling a difficult problem, but I'm grateful that LeetCode presented a manageable challenge this time. thank you!!!
Edit: I know what's waiting for us tomorrow, but let's celebrate what we have now."
"distribute-candies
",2,1,@kd_5304 same,"Feb 04, 2023",0,papitochi,35,"Jan 13, 2023","me after watching that this question has 1.2k likes and 1.2k dislikes.""Perfectly balanced, as all things should be."""
"word-break-ii
",57,55,"pick not pick wont work because u have to make string such that all the letters of s come up into our final string which we would push into ans vector, u cant skip any characters","May 25, 2024",0,smitk03,1,"May 25, 2024","I had a backtracking pick and not pick solution that passed 15 test cases instead of partition technique.
how you guys figure it out to use partition not pick and not pick technique."
"number-of-wonderful-substrings
",42,39,A more cynical point of view is that it is hints give solution week.,"Apr 30, 2024",3,Oliver_Day,12,"Apr 30, 2024",Its looking like a bit manipulation week ?
"find-the-student-that-will-replace-the-chalk
",40,39,I feel you bro. #metoo.,"Sep 02, 2024",1,adarsh0nayak,21,"Sep 02, 2024",I always feel dumb when a question is difficult for me but then I see solution. So sad
"reorganize-string
",76,74,s and Output contain differenct characters. In sorted order:,"Aug 24, 2023",1,siebenschlaefer,0,"Aug 23, 2023","s = ""ogccckcwmbmxtsbmozli""Output : ""czcxcwctmsmlmkoiogbg""Expected : ""cocgcickmlmsmtbwbxoz""in the description it is written that Return any possible rearrangement of s or return """" if not possible
But it is showing wrong ans."
"rising-temperature
",58,56,"we need to rearrange this query a little bit as follows
with CTE as (
select
id,recordDate as [date], temperature as temp,
lag(temperature) over(order by recordDate,id) as prev_temp,
lag(recordDate) over(order by recordDate,id) as prev_date
from Weather
)","Jan 24, 2023",0,abebe_1983,8,"Nov 28, 2021","SELECT id
FROM
(
SELECT id, recordDate, temperature AS today_temp, LAG(temperature,1) OVER (ORDER BY recordDate) AS yesterday_temp, LAG(recordDate,1) OVER (ORDER BY recordDate) AS yes_dateFROM Weather
) AS temp_table"
"sliding-puzzle
",105,101,@Aetherus thanks for boosting my confidence,"Nov 25, 2024",1,CodeYogic,2,"Nov 25, 2024","I am a beginner ! looking at today's problem
I AM DED , i know i should atleast try , but i can't even do it in real life without brute force ;("
"count-of-substrings-containing-every-vowel-and-k-consonants-ii
",57,54,"iqeaouq,qeaouqi,iqeaouqi","Sep 30, 2024",0,prince_cingh,0,"Sep 29, 2024","word = ""iqeaouqi""
k = 2
accepted ans = 3, how?
my ans = 2 only
iqeaou and eaouqianyone ?"
"minimum-bit-flips-to-convert-number
",31,28,@Arcturus_22 thanks bro,"Sep 11, 2024",-1,Garv_Virmani,14,"Sep 11, 2024","Take XOR of start and goal
Count set bits(popcount in C++)"
"constrained-subsequence-sum
",8,5,Thanks a lot),"Oct 21, 2023",1,Itachis_Main,96,"May 10, 2023","Although I haven't solved this yet, for those who have trouble understanding the question, I try my best to explain.The question requires you to find a subsequence from a given array, whose sum should have a maximum sum.What is a subsequence? Meaning that you can remove any number from the array, or remove none of them, and then you can obtain a new array. This new array is called a subsequence.
For example, given an array [1,2,3], the subsequences could be [1, 2, 3] (remove no number), [2, 3] (remove 1), [1, 3] (remove 2), or [1] (remove 2 and 3)."
"contains-duplicate
",40,37,@dilsherb sort internally uses more than one loop I'd bet.,"Sep 17, 2023",0,z_acc,25,"Apr 12, 2019","I used 2 for-loops to solve this problem, it's easy to understand."
"decoded-string-at-index
",130,129,"try not to expand the string fully. Think about reducing search size.
One tip is that the kth element of a string s of size N is same as the k%Nth element.
Happy Coding!!","Sep 27, 2023",0,reassurance,0,"Sep 27, 2023","Tried to get the whole String until length of K-1 is achieved using StringBuilder
""y959q969u3hb22odq595""
222280369
Got stuck on this testcase (case no= 33)
what should I do ?"
"word-pattern
",215,214,The mapping is supposed to be bijective so every element should have a one-one relation,"Jul 20, 2023",0,rampageousrj,0,"Jun 27, 2023","Testcase: 32/41
pattern = ""abba""
s = ""dog dog dog dog""Output: true
Expected: falseI use hashmap to solve this question
a -> dog
b -> dog
b -> dog
a -> dog
key contain same value then why it is showing expected false."
"toeplitz-matrix
",24,23,,"Nov 26, 2024",0,tashriqueahmed,2,"Oct 31, 2022",I am not getting perfect answers to the follow-up questions ...Can anyone help me out?
"swapping-nodes-in-a-linked-list
",7,2,who can blame u when the function is literally named swapNodes lmfao,"Jun 24, 2023",4,pyush98,111,"Apr 04, 2022",I focused my solution on swapping nodes instead of swapping values which is considerably more difficult as there are multiple edge cases to consider. I see lots of short solutions where only the value is swapped. I feel like this problem description deserves more clarification as to what is expected.
"defanging-an-ip-address
",4,1,l agree with you.,"Apr 08, 2023",0,cavidanbagiri,130,"Jan 13, 2023","Can we stop putting solutions in the discussion area. People are looking for tips and hints in this area, not the answer."
"meeting-rooms-iii
",56,53,"After meeting 3, the earliest free room will be room 2
so [3,7] -> [3+8, 7+8] at room 2
and 4,6 -> [4+9, 6+9] at room 1
since room 0 gets freed at last, only one meeting will take place there.","Aug 03, 2023",0,shru15,5,"Jun 23, 2023","May someone explain why this meetings [[0,10],[1,9],[2,8],[3,7],[4,6]] will return 1?
I thought it should beSo, the room 0, 1 will held 2 meetings, then it should return 0 ?"
"the-number-of-the-smallest-unoccupied-chair
",50,49,please tell me what is confusing about this question. to me it is perfectly clear and well written,"Oct 11, 2024",0,neks,8,"Oct 11, 2024","""Wow, what a perfectly clear question. I totally understood every word... not confusing at all!"""
"contains-duplicate
",53,51,Explain pls,"Jan 19, 2024",0,ronaldorawat,9,"Apr 09, 2022",lmao
"maximum-distance-in-arrays
",214,213,because you can not pick the smallest number and biggest number from the same array,"Aug 16, 2024",1,huynhnamdo,0,"Aug 16, 2024","Why this testcase return 4 instead of 5?
[[1,4],[0,5]]"
"count-good-numbers
",46,44,@karnativr2611 i also got the same problem did you find out,"Jul 16, 2024",0,shubhdeep_02,0,"Jan 28, 2024","Can some one let me know why the below code is failing for n=50.
var countGoodNumbers = function (n) {
if (n == 1) {
return 5;
}
let evenVal = 1, oddVal = 1;
if (n % 2 == 0) {
evenVal = n / 2;
oddVal = n / 2;
} else {
evenVal = (Math.floor(n / 2)) + 1;
oddVal = Math.floor(n / 2);
}
let x = (findPower(5, evenVal)) % (1000000007);
let y = (findPower(4, oddVal)) % (1000000007);
return ((x * y) % (1000000007));
};"
"maximum-value-of-k-coins-from-piles
",23,21,"I was doing the same thing, with TLE at 77/122. Your solution made me think about this problem in a different way. Thanks","Apr 15, 2023",1,NoobyNoob,2,"Apr 15, 2023",whats the best way to track the index of each pile? using a tuple so i can cache the results is giving me TLE at 77/122
"delete-nodes-and-return-forest
",196,195,"@jsm209
Honestly, I don't remember much now. Broadly speaking, Idea is to parse first and then break the links next - clean. This is possible when we do dfs to the lowest node and then break the chain as you backtrack the recursion.","Jun 03, 2024",0,maheshs,-4,"May 17, 2024",Simple and Clean - 97% Runtime and 85% Memory
"partition-string-into-substrings-with-values-at-most-k
",12,9,The problem description is ambiguous as it says -,"Mar 09, 2023",0,SUMITZET,1,"Jan 08, 2023",How does the first example satisfy the condition Each digit of s is part of exactly one substring.?
"koko-eating-bananas
",130,128,"You need to divide every piles[i] / k (where k = 14), round up, then sum. Doing this will produce the hours the guards are away for 823855818.","May 15, 2024",0,ferris_rs,2,"Aug 07, 2023","I don't understand one case. There are 18 piles, but the expected answer is 14. How the expected answer could be less than the number of piles if each pile takes at least 1 hour?piles =
[332484035,524908576,855865114,632922376,222257295,690155293,112677673,679580077,337406589,290818316,877337160,901728858,679284947,688210097,692137887,718203285,629455728,941802184]
h =
823855818"
"adding-two-negabinary-numbers
",3,2,Negasonic Teenage Warhead? Just add Nega prefix to anything,"Oct 21, 2024",0,blablablaster,5,"Apr 18, 2024",Nah who named it that.
"cheapest-flights-within-k-stops
",27,24,It is Today !! 22 Jan 2024 is the day !! Jai Shree Ram,"Jan 21, 2024",13,marknaman05,137,"Jan 26, 2023","Jai Shree Ram, flight is going to Ayodhya"
"roman-to-integer
",115,114,"Yes it can be done by replacing the string:
lV = IIII IX = IIIIIIIII
XL = XXXX XC = XXXXXXXXX
CD = CCCC CM = CCCCCCCCC","Aug 22, 2024",0,mihirpatel1112002,0,"Aug 08, 2024",can it be done without hash table??
"array-wrapper
",26,25,They didn't. This is how JS works internally according to the specs. You can find a good summary of it in the MDN docs.,"Jun 15, 2023",1,rcomesan,0,"Jun 15, 2023","I would know if they actually modified the JavaScript's environment for this problem to make it accepts operator overloading, or they wrote it like that just to provide a simple explanation..."
"the-skyline-problem
",30,28,"Same. Seemed a ridiculous question to me, and I have never had to use this sort of logic in daily job. They actually gave me the job anyway.","Mar 10, 2024",0,jeffreyoboe1,0,"Sep 07, 2023","Was asked this question in an interview, and I had no idea how to solve it..."
"longest-happy-string
",234,233,@mega01 means it can occur <=a times,"Aug 23, 2023",0,ANKITKRCSP,0,"Dec 02, 2022","s contains at most a occurrences of the letter 'a'.
s contains at most b occurrences of the letter 'b'.
s contains at most c occurrences of the letter 'c'.
can someone explain the definition of this? really confuse about the descriptions here"
"find-kth-bit-in-nth-binary-string
",134,133,"Your solution is brute force, so you're not qualified to say this problem is easy.","Oct 19, 2024",0,cgl0408,0,"Oct 19, 2024",Should be marked Easy !!! Simple Simulation Problem ! Implement what is asked !
"minimum-deletions-to-make-character-frequencies-unique
",44,43,yes,"Sep 14, 2023",0,DamianIvanochko,1,"Sep 14, 2023","Hey guys, my solution seems to be correct but it gave wrong output for
s =""bbcebab""
Output : 3
Expected : 2We can see that
b comes 4 times and a,c,e come one times each, if we delete any two elements in this group, we would have frequencies of 4,1,0 and 0 which is unique.So the minimum deletions should be 2 instead of 3.Correct me if I am wrong."
"max-dot-product-of-two-subsequences
",6,5,✔,"Oct 08, 2023",0,rajkariya2003,49,"Oct 08, 2023",wEEkeND RuiNeD suCeSSfUlLy !!
"minimum-processing-time
",21,18,"@mohitpal2621 No I think it is not like that.
It is 18th second not 18 seconds buddy.","Oct 08, 2023",0,rajatsaini,1,"Oct 08, 2023","I have a doubt, it is not mentioned in the question that each processor must excecute 4 tasks...therefore as in sample test case 2...processors 1 executes 4 assigned tasks till 18 ....therefore after 18 it is free why should not we assign next 4 tasks on processor 1 again itself which will give is ans as 21 instead of assigning it on proceesor 2 which gives us ans as 23.If I am wrong please correct meThanks"
"merge-k-sorted-lists
",3,1,"@wangjian2015la writing a compiler from scratch could make any easy problem hard. Does it mean that every easy problem should be marked as hard now?
easy = naive approach + simplicity of code
medium = brute force won't work || code is not that easy to write (example is backtracking)
hard = you really need to think about the efficiency + it's hard to code","Apr 09, 2024",4,frolik,371,"May 26, 2019","This problem should not be marked as hard.
Medium is more proper based on the other problems on leetcode."
"similar-string-groups
",60,59,"The answer is 1 because blw and bwl are smiliar, wlb and blw are similar.","Dec 12, 2023",0,MeloWang0308,0,"Oct 21, 2023","[""blw"",""bwl"",""wlb""]for this test what should be the answer??"
"implement-stack-using-queues
",45,43,"It is very easy to cheat. In fact, if the editorial is unlocked LeetCode actually provides a COPY button with their solution so you don't even have to select the text!","Aug 29, 2023",0,psionl0,2,"Aug 28, 2023",This question isn't great as there's no way to enforce the use of two queues in the implementation. The follow-up question is trivial to solve in python.
"lexicographically-smallest-equivalent-string
",107,106,"@Mister_CK If you want to do it like this, can we not store just the lexographically smallest equivalent of each character in a 26X2 matrix. Then all you need to do is replace a character with it's matrix counterpart.","Jan 14, 2023",0,sk03167,0,"Jan 14, 2023",any one have solution rather than (DSU)?
"longest-path-with-different-adjacent-characters
",134,132,"@Flo It was same, little more or less - but this should not have been a hard, should just be a medium like yesterday's problem","Jan 13, 2023",0,sarpalmadhav,0,"Jan 13, 2023",I found this one easier to implement than the one from yesterday
"meeting-rooms-iii
",116,115,Usually interview either tests you to implement the heap with very simple question or test your ability to apply it. This would be later I believe.,"Feb 18, 2024",0,feng3245,1,"Sep 24, 2023",are we even allow to use heapq.heapify() function in the interview?
"count-items-matching-a-rule
",5,3,This helped. thank you,"May 14, 2024",0,Maulik06,19,"Jan 23, 2024","above description is very poor so i explain here properly-----
You are given an array items, where each items[i] is a list [typei, colori, namei] representing the type, color, and name of the ith item.You are also given a rule represented by two strings, ruleKey and ruleValue. The rule defines a condition that an item must meet to be considered a match.The conditions for a match are as follows:If ruleKey is ""type"", then the item must have the same type as ruleValue.
If ruleKey is ""color"", then the item must have the same color as ruleValue.
If ruleKey is ""name"", then the item must have the same name as ruleValue.
Your task is to count the number of items in the items array that match the given rule."
"house-robber
",10,7,😂,"Feb 02, 2024",0,jackk10,714,"Nov 13, 2019","""You are a professional robber planning to rob houses along a street.""I refuse to believe that a professional robber would ever attempt to rob a street that had no houses on it. The description should be updated to indicate that the robber is perhaps an amateur robber, or a blind robber."
"sort-characters-by-frequency
",200,198,@nirutgupta78 thanks,"Dec 03, 2022",0,himanshu_210,0,"Dec 03, 2022","s=list(S)
s.sort()
temp=list(set(s))
l1=[]
l2=[]
new=''
for i in temp:
l1.append(i)
l2.append(s.count(i))while True :
if len(l1) == 0:
return new
new+=max(l2)*l1[l2.index(max(l2))]
l1.pop(l2.index(max(l2)))
l2.pop(l2.index(max(l2)))"
"determine-if-a-cell-is-reachable-at-a-given-time
",183,182,"No, it's 10^9 but pretty much like it is","Nov 08, 2023",0,doraani,0,"Nov 08, 2023",Grid size is infinite?
"path-with-minimum-effort
",53,52,because leetcode wants people to buy premium,"Jun 07, 2024",0,niteshsaxena03,1,"Sep 16, 2023",why editorial is locked everyday?
"maximum-length-of-pair-chain
",88,87,It just means that you still need to provide a more optimal solution for the solution to be accepted. It has happened with me a couple of time before.,"Aug 26, 2023",0,user0411bt,0,"Aug 26, 2023","class Solution {
public:
int solve(vector<vector> &pairs, int prev, int curr, vector<vector> &dp) {
if(curr == pairs.size()) return 0;"
"count-the-number-of-fair-pairs
",263,262,"u can swap i and j, so sorting is allowed","Mar 08, 2023",0,c4tdog,0,"Feb 12, 2023",can someone explain how can we sort if i<j??
"course-schedule
",231,230,"The problem of finding the maximum number of courses that can be taken, given a set of prerequisites, is a slightly different problem. This variant requires you to identify the largest acyclic subgraph (DAG) in the given graph, which is a difficult problem known as the Maximum Acyclic Subgraph Problem and is NP-Hard.","Jul 13, 2023",0,bparanj,0,"Jul 13, 2023","follow up :
what if we have to calculate the max number of doable courses"
"valid-boomerang
",9,8,"This right here, plus multiply is faster than divide","Sep 20, 2024",0,trashytrash,3,"Feb 01, 2024","Cross multiply to avoid divide by zero, fractions and other pain areas."
"valid-perfect-square
",30,28,"it solved my problem, why?","Jun 21, 2024",0,geum_,2,"Jun 17, 2024",Use Long Long instead of int
"split-a-string-into-the-max-number-of-unique-substrings
",23,18,Thnx bro for giving this everyday 👍,"Oct 21, 2024",1,shubhankar5002,48,"Oct 21, 2024",TESTCASES--------------->
"remove-nodes-from-linked-list
",139,138,"You should ensure that the stack (st) is not empty on each iteration of the inner while loop in the monotonic stack implementation. If the stack is empty, it can lead to undefined behavior, which might have been the root cause of your error. To prevent this, amend while (st.top() < x) to while (!st.empty() && st.top() < x.","May 06, 2024",1,Moupiya001,0,"May 06, 2024","I started to write navie solution then optimizing it. However my naive solution is giving error and I cannot debug it.class Solution {
public:
ListNode* removeNodes(ListNode* head) {
// Inefficient Solution
stack st;
stack st2;
ListNode * temp = head;
while(temp->next){
int x = temp->val;
if(!st.empty()){
while(st.top()<x) st.pop();
st.push(x);
}
else st.push(x);
temp=temp->next;
}"
"coin-change-ii
",45,44,This helped me solve the problem. Thank you!,"Aug 11, 2023",0,poiuyt123,4,"Aug 11, 2023","When faced with a coin change problem, it's essential to adopt a mindset that involves exploring all possible avenues to reach the desired outcome (Recursion as one would say). The problem can be likened to determining how many distinct ways one can achieve a particular target value using given coins.Before diving into dynamic programming (DP) solutions, it's wise to lay the groundwork with a recursive approach. In simple terms, envision two primary options: either selecting a coin or not. If you opt to select a coin, a subsequent choice arises: whether to pick the same coin again or proceed with a coin of lesser value. Alternatively, if you decide not to select a coin, the focus shifts to considering the next available coin in the set."
"number-of-atoms
",63,62,LMAO,"Oct 26, 2024",0,aristokat,11,"Jul 14, 2024",I mast****ted 3 times in the span of 3 hours while solving this damn problem.
"longest-palindrome
",77,76,"I understand how array usage is better for speed (even with the cost of initialising all values to their default), but it would not handle different constraints and is more obscure - does not convey your intent. Generally array is for a set of values while map is for tracking values.","Jun 04, 2024",0,Oliver_Day,2,"Jun 04, 2024","No need of hashmap/hashset, just use a frequency array as string only contains lowercase or uppercase letters. Reducing hash overhead improves performance by a LOTOnce you have the frequencies of every letter, answer is very straightforward. We can consider all even frequencied letter as part of palindrome, as half can go on left end and half on other end. So sum all of those
For odd frequencies, we can take ALL but ONE (or simply f - 1) because f - 1 will either result in an even number or 0 (if singular letter where f = 1). Can simply increment answer by f - 1 in these cases, as those f - 1 letters can be placed half and half just like above!"
"coin-change
",30,28,dp[i][j] ? is this 2d dp?,"Nov 04, 2023",0,kieuwanlee4120,26,"Nov 04, 2019",
"longest-ideal-subsequence
",9,7,us bro,"Apr 25, 2024",1,dash123---,70,"Apr 25, 2024","Being here ,despite of exams tomorrow! 🙂🙂"
"maximum-nesting-depth-of-the-parentheses
",99,98,dont post ans here dude,"Jan 02, 2023",3,its_adit,1,"Dec 07, 2022","class Solution {
public:
int maxDepth(string s) {
int res=0,curr=0;
for(int i=0;i<s.length();++i){"
"camelcase-matching
",9,8,"No need to fix anything, the description and the problem itself is broken to an extent that it should be taken down.","Nov 07, 2024",0,sarpalmadhav,5,"Apr 14, 2023","The last sentence of the description should be:
You can insert lowercase character at any position and you should not remove any characters.
So
pattern ""Foba"" will match: ""FooBar"", ""FaoBra""; will not match: ""FoBaFoBa"", ""FooBarTest"", ""Foba"""
"minimum-number-of-operations-to-make-all-array-elements-equal-to-1
",2,1,"Yes, your reasoning is absolutely correct. As per the problem, you need to inspect each element of the array to determine if the number 1 is present or if a pair of numbers exists such that their greatest common divisor (gcd) is 1. This requires at least linear time, O(N), where N is the length of the array.","Jun 26, 2023",0,bparanj,8,"Apr 30, 2023","I think it's quite easy to prove that it impossible to solve this problem in O(1) time complexity.
Imaging you have an array of length N, for which the asnwer is ""-1"" - that is, you cannot make all elements equal to 1 using any number of operations. Now, insert number ""1"" at a random index of the array, and now you can make all other numbers equal to 1. In order to find this ""1"" you need O(N) time complexity."
"power-of-four
",46,41,"@psionl0 Exactly, the log function is not O(1). Not sure how its implemented in other languages, but I guarantee you that C++'s std::log and JavaScript's Math.log implementations use loops.","Oct 23, 2023",0,alraisi96,6,"Oct 23, 2023",Very easy! just use log2
"next-greater-node-in-linked-list
",4,3,Poor Description. They should've asked us to do it with linear space directly.... Apparently I wasted 15mins to try and build a solution with constant space complexity. ONLY to get TLE on ONE TEST CASE (it passed 75/76 cases and the failed test case is where head was having a ZILLION nodes approx,"Jul 21, 2024",0,ramakrishna1607,9,"Apr 01, 2019","Almost all of our methods are using O(n) time, O(n) space with a stack.
Is there a better way that we could only use O(1) space?
I can only figure out O(1)space with O(n2) time."
"find-the-maximum-length-of-a-good-subsequence-ii
",23,22,@amitbansal13 i got it thanks dude,"Jun 08, 2024",0,raghavachekuri,-1,"Jun 08, 2024",i think both questions are similar what is the differenece of 3 and 4
"h-index
",39,38,Definition of h is The h-index is defined as the maximum value of h such that the given researcher has published at least h papers that have each been cited at least h times. See it is written at least h papers not exact h papers,"May 07, 2023",2,user2118U,10,"Sep 15, 2015","Hi,I came across a situation: given citations = [3, 1, 7, 8, 9]. What will be the answer be?According to the definition of h-index on Wikipedia: ""A scientist has index h if h of his/her N papers have at least h citations each, and the other N − h papers have no more than h citations each.""When h=3, the definition will be ""A scientist has index 3 if 3 of his/her 5 papers have at least 3 citations each, and the other 2 papers have no more than 3 citations each."" Obviously wrong...."
"same-tree
",20,19,"you cant , current problem is a special case of what you subtree problem ie both tree are equal .","Jan 10, 2023",0,mrping_11,5,"Apr 13, 2021","So I didn't read this problem right and thought that what we need is to find whether q is a subtree of p (basically what this https://leetcode.com/problems/subtree-of-another-tree/ problem is about). So I wrote a subtree solution for this and it worked, there are no tests that check for a subtree case (e.g. [1,2,3] [2]). You can copypaste a solution from the problem I linked and it will work here. I wonder if there is a way to add a test for this problem?"
"minimum-size-subarray-sum
",133,132,Nahhh u need to fix UR code,"Sep 10, 2024",0,vredario,0,"Aug 31, 2024",Half of the test cases are straight up wrong someone needs to fix this.
"widest-vertical-area-between-two-points-containing-no-points
",216,215,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/solutions/4433636/fastest-python-solution/,"Dec 21, 2023",0,ArnaX_08,0,"Dec 21, 2023",This is not what you are thinking it took 2 hours solve this problem still got wrong as I was not solving this problem
"flatten-binary-tree-to-linked-list
",5,1,"@olivierkessler Plus, why would the difficulty be based off the straight forward non-optimal solution? That's not how it works lmaoooo. Like for median of 2 sorted arrays, theres obviously an O(N) solution that everyone can think of but the optimal is O(logN).","Feb 23, 2024",0,youngbryanyu,131,"Feb 16, 2023",change difficulty to hard
"3sum-with-multiplicity
",16,15,use modulus,"Nov 02, 2023",0,Pratham8383,0,"Aug 16, 2023","My code fails the test case 39/72.
arr =
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...]"
